item_no,manu_no,name,item_desc
3448-89160,3M,3m Company,Strain Releif
AAH-438-28.63636MHZ-T3,ABC,Abracon Corporation,Crystal
AAH-438-28.63636MHZ-T3,ABC,Abracon Corporation,Crystal
ABS07AIG-32.768KHZ-6-T,ABC,Abracon Corporation,Crystal 32.768khz 9pf
AISC-0402-3N3J-T,ABC,Abracon Corporation,ND 3.3NH 840MA 66MOHM
FC1BACBEI20.0-T3,ABC,Abracon Corporation,Crystal 20MHz ±30ppm (Tol)
UM.HB7AA.G02,ACR,Acer.Com,"Acer 27"" Full HD LED-LCD Mntr"
UM.HB7AA.G02,ACR,Acer.Com,"Acer 27"" Full HD LED-LCD Mntr"
2PH1-05-UA,ADMT,Adam-Tech Interconnects,"CONN,HEADER,2MM,1x5"
ADT-AN14841-1,ADMT,Adam-Tech Interconnects,"PCMCIA Connector, 68 Pin."
AM486DE2-66V8TGC,AMD,ADVANCED MICRO DEVICES,2534434 PW 2667
C67401J,AMD,ADVANCED MICRO DEVICES,
MS27472E10B35S,AEI,AERO ELECTRIC,D38999-CONNECTOR
MS27472E14B15PC,AEI,AERO ELECTRIC,38999 SERIES II
MS27472E14B35PC,AEI,AERO ELECTRIC,
MS27505E15F35SA,AEI,AERO ELECTRIC,
MS27508E22F35PA,AEI,AERO ELECTRIC,mil connector
MS27488-16,AIC,AICONICS,
ACS724LLCTR-10AB-T,ALG,ALLEGRO/SPRAGUE,10A SOIC-8 Current Sensors
